"","industry","occupation","jobtitle","company","jobspec","careerlevel","salary","qualifications","jobtype","experience","joblink"
"197","Information And Communications","Software And Applications Manager","Software Engineer (Data Analysis)","Shimano Singapore Pte Ltd","Information And Communications","Junior Executive","SGD 3,400 , SGD 4,800","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/software-engineer-data-analysis-8944371?jobId=jobstreet-sg-job-8944371&sectionRank=95&token=0~43156ecb-6950-4e2a-ae89-b62023316be2&fr=SRP%20Job%20Listing"
"198","Information And Communications","Computer Technician","Senior / Analytics Consultant (Data)","Izeno Pte Ltd","Information And Communications","Senior Executive","SGD 4,000 , SGD 6,500","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/senior-analytics-consultant-data-8994756?jobId=jobstreet-sg-job-8994756&sectionRank=5&token=0~2c251621-2c7c-4c4a-8a1b-1e8f70cff615&fr=SRP%20Job%20Listing"
"199","Information And Communications","Computer Technician","Technical Support Engineer","Mega Asia Software Pte. Ltd.","Information And Communications","Junior Executive","SGD 3,000 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/technical-support-engineer-8995386?jobId=jobstreet-sg-job-8995386&sectionRank=14&token=0~2c251621-2c7c-4c4a-8a1b-1e8f70cff615&fr=SRP%20Job%20Listing"
"200","Information And Communications","Computer Technician","It Sales Consultant","Intercorp Solutions Pte Ltd","Information And Communications","Junior Executive","SGD 4,000 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/it-sales-consultant-8965574?jobId=jobstreet-sg-job-8965574&sectionRank=26&token=0~2c251621-2c7c-4c4a-8a1b-1e8f70cff615&fr=SRP%20Job%20Listing"
"201","Information And Communications","Computer Technician","Operations Engineer","Galaxy Superchain Technology Pte. Ltd.","Information And Communications","Junior Executive","SGD 3,600 , SGD 4,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/operations-engineer-9000721?jobId=jobstreet-sg-job-9000721&sectionRank=54&token=0~7686703e-81e1-4ae2-aeee-9bdb3d6e512c&fr=SRP%20Job%20Listing"
"202","Information And Communications","Computer Technician","Cim - Information Integration Senior Engineer","Vanguard International Semiconductor Singapore Pte. Ltd.","Information And Communications","Senior Executive","SGD 4,000 , SGD 7,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/cim-information-integration-senior-engineer-8963861?jobId=jobstreet-sg-job-8963861&sectionRank=60&token=0~7686703e-81e1-4ae2-aeee-9bdb3d6e512c&fr=SRP%20Job%20Listing"
"203","Information And Communications","Computer Technician","Sales Manager- Moulding","Company Confidential","Information And Communications","Senior Manager","SGD 5,000 , SGD 7,000","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","10 years","https://www.jobstreet.com.sg//en/job/sales-manager-moulding-8962604?jobId=jobstreet-sg-job-8962604&sectionRank=93&token=0~d0f80fa3-6379-4b78-a2e6-ca6ba8cbacc7&fr=SRP%20Job%20Listing"
"204","Information And Communications","Strategic Planning Manager","It Program Manager","Aem Singapore Pte Ltd","Information And Communications","Manager","SGD 5,000 , SGD 7,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/it-program-manager-8881548?jobId=jobstreet-sg-job-8881548&sectionRank=34&token=0~9f7ca03a-40bd-4a7f-a280-db9933a1877c&fr=SRP%20Job%20Listing"
"205","Information And Communications","Strategic Planning Manager","Public Relations Manager","Mytona Pte. Ltd.","Information And Communications","Manager","SGD 4,500 , SGD 6,300","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/public-relations-manager-8985836?jobId=jobstreet-sg-job-8985836&sectionRank=58&token=0~9f7ca03a-40bd-4a7f-a280-db9933a1877c&fr=SRP%20Job%20Listing"
"206","Information And Communications","Strategic Planning Manager","Regional Business Development Manager - Apac","Talentbank","Information And Communications","Senior Manager","SGD 10,000 , SGD 12,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","10 years","https://www.jobstreet.com.sg//en/job/regional-business-development-manager-apac-8970915?jobId=jobstreet-sg-job-8970915&sectionRank=68&token=0~7a3b9e24-ed9e-4433-94d6-8cb3ab2179a1&fr=SRP%20Job%20Listing"
"207","Information And Communications","Strategic Planning Manager","Corporate Business Development Manager (5 Day Week, Good Remuneration &Amp; Commission And Work-Life Balance)","Media Outreach Pte Ltd","Information And Communications","Manager","SGD 4,500 , SGD 6,300","Not Specified","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/corporate-business-development-manager-5-day-week-good-remuneration-commission-and-work-life-balance-8944626?jobId=jobstreet-sg-job-8944626&sectionRank=85&token=0~7a3b9e24-ed9e-4433-94d6-8cb3ab2179a1&fr=SRP%20Job%20Listing"
"208","Information And Communications","Sales Manager","Sales Manager","Dnkh Logistics Pte Ltd","Information And Communications","Senior Manager","SGD 3,500 , SGD 4,900","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sales-manager-8990977?jobId=jobstreet-sg-job-8990977&sectionRank=3&token=0~be9093ae-59eb-4948-aee6-c8abb1778cea&fr=SRP%20Job%20Listing"
"209","Information And Communications","Sales Manager","Key Account Manager - Otc","Unison Collaborative","Information And Communications","Manager","SGD 5,000 , SGD 7,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/key-account-manager-otc-8992105?jobId=jobstreet-sg-job-8992105&sectionRank=7&token=0~be9093ae-59eb-4948-aee6-c8abb1778cea&fr=SRP%20Job%20Listing"
"210","Information And Communications","Sales Manager","Account Manager (Sales)","Eventionapp","Information And Communications","Senior Executive","SGD 3,000 , SGD 6,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/account-manager-sales-8982442?jobId=jobstreet-sg-job-8982442&sectionRank=8&token=0~be9093ae-59eb-4948-aee6-c8abb1778cea&fr=SRP%20Job%20Listing"
"211","Information And Communications","Sales Manager","Sales Manager","Company Confidential","Information And Communications","Manager","SGD 4,000 , SGD 5,600","Higher Secondary/Pre-U/'A' Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sales-manager-8946123?jobId=jobstreet-sg-job-8946123&sectionRank=11&token=0~be9093ae-59eb-4948-aee6-c8abb1778cea&fr=SRP%20Job%20Listing"
"212","Information And Communications","Sales Manager","Sales Manager- Moulding","Company Confidential","Information And Communications","Senior Manager","SGD 5,000 , SGD 7,000","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","10 years","https://www.jobstreet.com.sg//en/job/sales-manager-moulding-8962604?jobId=jobstreet-sg-job-8962604&sectionRank=15&token=0~be9093ae-59eb-4948-aee6-c8abb1778cea&fr=SRP%20Job%20Listing"
"213","Information And Communications","Sales Manager","Sales Manager(Ecm Product)","Aishu Technology Singapore Pte. Ltd.","Information And Communications","Manager","SGD 6,000 , SGD 10,000","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/sales-manager-ecm-product-4710989/origin/my?jobId=jobstreet-my-job-4710989&sectionRank=34&token=0~1b0da520-7bec-4d7b-af4f-da34dac6000c&fr=SRP%20Job%20Listing"
"214","Information And Communications","Sales Manager","Account Sales Manager (Marine Safety)","R K Instruments (S) Pte Ltd","Information And Communications","Manager","SGD 4,500 , SGD 5,500","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/account-sales-manager-marine-safety-8935457?jobId=jobstreet-sg-job-8935457&sectionRank=49&token=0~1b0da520-7bec-4d7b-af4f-da34dac6000c&fr=SRP%20Job%20Listing"
"215","Information And Communications","Sales Manager","Sales Executive","Ap Oil Pte Ltd","Information And Communications","Junior Executive","SGD 3,500 , SGD 4,500","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/sales-executive-8933403?jobId=jobstreet-sg-job-8933403&sectionRank=63&token=0~15acd3c0-e230-4165-b21f-eda8b5886d56&fr=SRP%20Job%20Listing"
"216","Information And Communications","Sales Manager","Sales Senior Engineer / Manager","Weo Corporation Pte. Ltd.","Information And Communications","Senior Executive","SGD 4,000 , SGD 8,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/sales-senior-engineer-manager-8979271?jobId=jobstreet-sg-job-8979271&sectionRank=70&token=0~15acd3c0-e230-4165-b21f-eda8b5886d56&fr=SRP%20Job%20Listing"
"217","Information And Communications","Sales Manager","Corporate Business Development Manager (5 Day Week, Good Remuneration &Amp; Commission And Work-Life Balance)","Media Outreach Pte Ltd","Information And Communications","Manager","SGD 4,500 , SGD 6,300","Not Specified","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/corporate-business-development-manager-5-day-week-good-remuneration-commission-and-work-life-balance-8944626?jobId=jobstreet-sg-job-8944626&sectionRank=81&token=0~15acd3c0-e230-4165-b21f-eda8b5886d56&fr=SRP%20Job%20Listing"
"218","Information And Communications","Sales Manager","Sales And Operations Manager","Oriental Remedies Incorporated (Private Limited)","Information And Communications","Manager","SGD 4,800 , SGD 5,500","Not Specified","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/sales-and-operations-manager-8980804?jobId=jobstreet-sg-job-8980804&sectionRank=83&token=0~15acd3c0-e230-4165-b21f-eda8b5886d56&fr=SRP%20Job%20Listing"
"219","Information And Communications","Sales Manager","Product Manager","Sg Medical Pte Ltd","Information And Communications","Senior Executive","SGD 3,500 , SGD 4,500","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/product-manager-8967443?jobId=jobstreet-sg-job-8967443&sectionRank=90&token=0~15acd3c0-e230-4165-b21f-eda8b5886d56&fr=SRP%20Job%20Listing"
"220","Information And Communications","Sales Manager","Assistant Business Development Manager","Slide & Hide System (S) Pte Ltd","Information And Communications","Senior Executive","SGD 3,500 , SGD 7,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/assistant-business-development-manager-8995133?jobId=jobstreet-sg-job-8995133&sectionRank=97&token=0~3562a23f-aae9-4444-bdf8-25bc5f2d667b&fr=SRP%20Job%20Listing"
"221","Information And Communications","Sales Manager","Business Development Executive","Skyworks Consulting Pte. Ltd","Information And Communications","Junior Executive","SGD 3,800 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/business-development-executive-8977749?jobId=jobstreet-sg-job-8977749&sectionRank=99&token=0~3562a23f-aae9-4444-bdf8-25bc5f2d667b&fr=SRP%20Job%20Listing"
"222","Information And Communications","Media And Broadcasting Manager","Data Centre Operator","Sysnet System And Solutions Pte Ltd","Information And Communications","Junior Executive","SGD 2,500 , SGD 3,500","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/data-centre-operator-8916872?jobId=jobstreet-sg-job-8916872&sectionRank=4&token=0~150f8d07-1c54-48d5-b845-0775aec1433a&fr=SRP%20Job%20Listing"
"223","Information And Communications","Marketing Manager","Regional Marketing Manager","Cordlife Group Limited","Information And Communications","Manager","SGD 4,500 , SGD 6,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/regional-marketing-manager-8901670?jobId=jobstreet-sg-job-8901670&sectionRank=3&token=0~d408e14c-3813-4d1f-af46-05068c3d53a3&fr=SRP%20Job%20Listing"
"224","Information And Communications","Marketing Manager","Marketing Manager","Hysses (Singapore) Pte Ltd","Information And Communications","Manager","SGD 4,500 , SGD 6,000","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/marketing-manager-8951215?jobId=jobstreet-sg-job-8951215&sectionRank=19&token=0~d408e14c-3813-4d1f-af46-05068c3d53a3&fr=SRP%20Job%20Listing"
"225","Information And Communications","Marketing Manager","Ecommerce And Digital Marketing Manager","The Oaks Cellars Pte Ltd","Information And Communications","Manager","SGD 4,000 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/ecommerce-and-digital-marketing-manager-8958902?jobId=jobstreet-sg-job-8958902&sectionRank=23&token=0~d408e14c-3813-4d1f-af46-05068c3d53a3&fr=SRP%20Job%20Listing"
"226","Information And Communications","Marketing Manager","Marketing Manager/ Director","Rapid Marine Hvac (Asia Pacific) Pte Ltd","Information And Communications","Senior Manager","SGD 7,000 , SGD 10,000","Not Specified","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/marketing-manager-director-8978577?jobId=jobstreet-sg-job-8978577&sectionRank=57&token=0~c6ebdc5e-1dba-4b2e-9acb-c7901971e4e3&fr=SRP%20Job%20Listing"
"227","Information And Communications","Marketing Manager","Product Manager","Huawei International Pte. Ltd.","Information And Communications","Manager","SGD 4,000 , SGD 8,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/product-manager-8964463?jobId=jobstreet-sg-job-8964463&sectionRank=69&token=0~c9e82aec-8e6a-49e8-ae7e-fb307f0db8c4&fr=SRP%20Job%20Listing"
"228","Information And Communications","Managing Director/Chief Executive Officer","Deputy Director, Information System Technology","Cordlife Group Limited","Information And Communications","Senior Manager","SGD 7,500 , SGD 9,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/deputy-director-information-system-technology-8964832?jobId=jobstreet-sg-job-8964832&sectionRank=4&token=0~a7f5d4fe-7b32-4827-a4ea-a58a18d596f1&fr=SRP%20Job%20Listing"
"229","Information And Communications","Managing Director/Chief Executive Officer","Director / Senior Director / Vice President, Institutional Sales","Cyberdyne Tech Exchange Pte. Ltd.","Information And Communications","Manager","SGD 12,500 , SGD 17,500","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/director-senior-director-vice-president-institutional-sales-8959650?jobId=jobstreet-sg-job-8959650&sectionRank=12&token=0~a7f5d4fe-7b32-4827-a4ea-a58a18d596f1&fr=SRP%20Job%20Listing"
"230","Information And Communications","Managing Director/Chief Executive Officer","Marketing Manager/ Director","Rapid Marine Hvac (Asia Pacific) Pte Ltd","Information And Communications","Senior Manager","SGD 7,000 , SGD 10,000","Not Specified","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/marketing-manager-director-8978577?jobId=jobstreet-sg-job-8978577&sectionRank=55&token=0~bcb9746a-02de-4018-b6c1-b143a3d0b90b&fr=SRP%20Job%20Listing"
"231","Information And Communications","Ict Service Manager","Deputy Director, Information System Technology","Cordlife Group Limited","Information And Communications","Senior Manager","SGD 7,500 , SGD 9,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/deputy-director-information-system-technology-8964832?jobId=jobstreet-sg-job-8964832&sectionRank=2&token=0~a88fdc62-bdd1-427c-bf15-3a74b5fef5d3&fr=SRP%20Job%20Listing"
"232","Information And Communications","Ict Service Manager","Assistant It Manager","S.f. Express (Singapore) Pte Ltd","Information And Communications","Manager","SGD 4,000 , SGD 5,300","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/assistant-it-manager-8889526?jobId=jobstreet-sg-job-8889526&sectionRank=56&token=0~8c47e79b-78de-4e3a-b9d2-351210dbaf75&fr=SRP%20Job%20Listing"
"233","Information And Communications","Ict Service Manager","It Program Manager","Aem Singapore Pte Ltd","Information And Communications","Manager","SGD 5,000 , SGD 7,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","8 years","https://www.jobstreet.com.sg//en/job/it-program-manager-8881548?jobId=jobstreet-sg-job-8881548&sectionRank=85&token=0~b5e85166-8efc-40f1-9a9b-1996a72b1d5a&fr=SRP%20Job%20Listing"
"234","Information And Communications","Customer Service Manager","Sales And Operations Manager","Oriental Remedies Incorporated (Private Limited)","Information And Communications","Manager","SGD 4,800 , SGD 5,500","Not Specified","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/sales-and-operations-manager-8980804?jobId=jobstreet-sg-job-8980804&sectionRank=98&token=0~afa29e51-eff9-4ce6-954b-98c8a414dee2&fr=SRP%20Job%20Listing"
"235","Information And Communications","Business Development Manager","Regional Business Development Manager - Apac","Talentbank","Information And Communications","Senior Manager","SGD 10,000 , SGD 12,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","10 years","https://www.jobstreet.com.sg//en/job/regional-business-development-manager-apac-8970915?jobId=jobstreet-sg-job-8970915&sectionRank=4&token=0~7f3a646c-8ad2-4d9b-ac72-30e9cc5a2973&fr=SRP%20Job%20Listing"
"236","Information And Communications","Business Development Manager","Sales Manager","Dnkh Logistics Pte Ltd","Information And Communications","Senior Manager","SGD 3,500 , SGD 4,900","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sales-manager-8990977?jobId=jobstreet-sg-job-8990977&sectionRank=5&token=0~7f3a646c-8ad2-4d9b-ac72-30e9cc5a2973&fr=SRP%20Job%20Listing"
"237","Information And Communications","Business Development Manager","Key Account Manager - Otc","Unison Collaborative","Information And Communications","Manager","SGD 5,000 , SGD 7,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/key-account-manager-otc-8992105?jobId=jobstreet-sg-job-8992105&sectionRank=6&token=0~7f3a646c-8ad2-4d9b-ac72-30e9cc5a2973&fr=SRP%20Job%20Listing"
"238","Information And Communications","Business Development Manager","Business Advisor / Business Development Executive","Sme [Email Protected] ([Email Protected] Pte. Ltd.)","Information And Communications","Junior Executive","SGD 3,200 , SGD 3,500","Higher Secondary/Pre-U/'A' Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/business-advisor-business-development-executive-8960560?jobId=jobstreet-sg-job-8960560&sectionRank=7&token=0~7f3a646c-8ad2-4d9b-ac72-30e9cc5a2973&fr=SRP%20Job%20Listing"
"239","Information And Communications","Business Development Manager","Corporate Business Development Manager (5 Day Week, Good Remuneration &Amp; Commission And Work-Life Balance)","Media Outreach Pte Ltd","Information And Communications","Manager","SGD 4,500 , SGD 6,300","Not Specified","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/corporate-business-development-manager-5-day-week-good-remuneration-commission-and-work-life-balance-8969934?jobId=jobstreet-sg-job-8969934&sectionRank=8&token=0~7f3a646c-8ad2-4d9b-ac72-30e9cc5a2973&fr=SRP%20Job%20Listing"
"240","Information And Communications","Business Development Manager","Account Manager (Sales)","Eventionapp","Information And Communications","Senior Executive","SGD 3,000 , SGD 6,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/account-manager-sales-8982442?jobId=jobstreet-sg-job-8982442&sectionRank=10&token=0~7f3a646c-8ad2-4d9b-ac72-30e9cc5a2973&fr=SRP%20Job%20Listing"
"241","Information And Communications","Business Development Manager","Corporate Business Development Manager (5 Day Week, Good Remuneration &Amp; Commission And Work-Life Balance)","Media Outreach Pte Ltd","Information And Communications","Manager","SGD 4,500 , SGD 6,300","Not Specified","Full-Time","4 years","https://www.jobstreet.com.sg//en/job/corporate-business-development-manager-5-day-week-good-remuneration-commission-and-work-life-balance-8944626?jobId=jobstreet-sg-job-8944626&sectionRank=13&token=0~7f3a646c-8ad2-4d9b-ac72-30e9cc5a2973&fr=SRP%20Job%20Listing"
"242","Information And Communications","Business Development Manager","Assistant Business Development Manager","Slide & Hide System (S) Pte Ltd","Information And Communications","Senior Executive","SGD 3,500 , SGD 7,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/assistant-business-development-manager-8995133?jobId=jobstreet-sg-job-8995133&sectionRank=15&token=0~7f3a646c-8ad2-4d9b-ac72-30e9cc5a2973&fr=SRP%20Job%20Listing"
"243","Information And Communications","Business Development Manager","Business Development Executive","Skyworks Consulting Pte. Ltd","Information And Communications","Junior Executive","SGD 3,800 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/business-development-executive-8977749?jobId=jobstreet-sg-job-8977749&sectionRank=16&token=0~7f3a646c-8ad2-4d9b-ac72-30e9cc5a2973&fr=SRP%20Job%20Listing"
"244","Information And Communications","Business Development Manager","Business Development Manager","Lam Seng Hang Company Private Limited","Information And Communications","Senior Executive","SGD 3,300 , SGD 4,500","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/business-development-manager-8951449?jobId=jobstreet-sg-job-8951449&sectionRank=28&token=0~7f3a646c-8ad2-4d9b-ac72-30e9cc5a2973&fr=SRP%20Job%20Listing"
"245","Information And Communications","Business Development Manager","Deputy Director, Information System Technology","Cordlife Group Limited","Information And Communications","Senior Manager","SGD 7,500 , SGD 9,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree","Full-Time","5 years","https://www.jobstreet.com.sg//en/job/deputy-director-information-system-technology-8964832?jobId=jobstreet-sg-job-8964832&sectionRank=37&token=0~e0f09b31-15b3-4026-8261-0aab5e89504d&fr=SRP%20Job%20Listing"
"246","Information And Communications","Business Development Manager","Sales Manager","Company Confidential","Information And Communications","Manager","SGD 4,000 , SGD 5,600","Higher Secondary/Pre-U/'A' Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/sales-manager-8946123?jobId=jobstreet-sg-job-8946123&sectionRank=60&token=0~e0f09b31-15b3-4026-8261-0aab5e89504d&fr=SRP%20Job%20Listing"
"247","Information And Communications","Business Development Manager","Executive, Business Development","Wee Hur Capital Pte. Ltd.","Information And Communications","Junior Executive","SGD 3,000 , SGD 4,000","Not Specified","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/executive-business-development-8959010?jobId=jobstreet-sg-job-8959010&sectionRank=61&token=0~15dafd4b-438e-4ca5-b0fa-f2747b5a907a&fr=SRP%20Job%20Listing"
"248","Information And Communications","Business Development Manager","Business Development Executive (F&Amp;B, Changi South)","Compass Group (S) Pte Ltd","Information And Communications","Senior Executive","SGD 3,200 , SGD 3,500","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/business-development-executive-f-b-changi-south-8944488?jobId=jobstreet-sg-job-8944488&sectionRank=66&token=0~15dafd4b-438e-4ca5-b0fa-f2747b5a907a&fr=SRP%20Job%20Listing"
"249","Information And Communications","Business Development Manager","Business Development Executive","Firstcom Academy Pte. Ltd.","Information And Communications","Junior Executive","SGD 3,000 , SGD 5,500","Not Specified","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/business-development-executive-8957877?jobId=jobstreet-sg-job-8957877&sectionRank=68&token=0~15dafd4b-438e-4ca5-b0fa-f2747b5a907a&fr=SRP%20Job%20Listing"
"250","Information And Communications","Business Development Manager","Business Development Executive","Lyreco (Singapore) Pte Ltd","Information And Communications","Senior Executive","SGD 2,800 , SGD 3,700","Higher Secondary/Pre-U/'A' Level, Professional Certificate/NiTEC, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","2 years","https://www.jobstreet.com.sg//en/job/business-development-executive-8958838?jobId=jobstreet-sg-job-8958838&sectionRank=74&token=0~15dafd4b-438e-4ca5-b0fa-f2747b5a907a&fr=SRP%20Job%20Listing"
"251","Information And Communications","Business Development Manager","Business Development Executive-Recertification","Bureau Veritas Singapore Pte. Ltd.","Information And Communications","Junior Executive","SGD 2,800 , SGD 3,500","Not Specified","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/business-development-executive-recertification-8963811?jobId=jobstreet-sg-job-8963811&sectionRank=86&token=0~15dafd4b-438e-4ca5-b0fa-f2747b5a907a&fr=SRP%20Job%20Listing"
"252","Information And Communications","Business Development Manager","Business Development Executive","Kumar Organic Products (S) Pte Ltd","Information And Communications","Senior Executive","SGD 3,000 , SGD 5,000","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/business-development-executive-8936842?jobId=jobstreet-sg-job-8936842&sectionRank=90&token=0~15dafd4b-438e-4ca5-b0fa-f2747b5a907a&fr=SRP%20Job%20Listing"
"253","Information And Communications","Software And Applications Manager","Regional Business Development Manager - Apac","Talentbank","Information And Communications","Senior Manager","SGD 10,000 , SGD 12,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","10 years","https://www.jobstreet.com.sg//en/job/regional-business-development-manager-apac-8970915?jobId=jobstreet-sg-job-8970915&sectionRank=38&token=0~c042531b-3e66-4e93-b74b-8eae094e613b&fr=SRP%20Job%20Listing"
"254","Information And Communications","Software And Applications Manager","Backend Engineer (Php)","Techg It Solutions","Information And Communications","Senior Executive","SGD 4,500 , SGD 6,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/backend-engineer-php-8934828?jobId=jobstreet-sg-job-8934828&sectionRank=52&token=0~c042531b-3e66-4e93-b74b-8eae094e613b&fr=SRP%20Job%20Listing"
"255","Information And Communications","Accounting Associate Professional","Corporate &Amp; Marketing Communications Executive","Metropolitan Ymca Singapore","Information And Communications","Senior Executive","SGD 2,400 , SGD 3,200","Diploma, Advanced/Higher/Graduate Diploma","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/corporate-marketing-communications-executive-8940117?jobId=jobstreet-sg-job-8940117&sectionRank=98&token=0~df25a3e5-9282-4b0e-a56f-bc691521f7a1&fr=SRP%20Job%20Listing"
"256","Information And Communications","Sales Manager","Assistant Corporate Sales Manager","Guava Amenities Pte Ltd","Information And Communications","Junior Executive","SGD 3,500 , SGD 4,000","Bachelor's Degree, Post Graduate Diploma, Professional Degree","Full-Time","3 years","https://www.jobstreet.com.sg//en/job/assistant-corporate-sales-manager-9000342?jobId=jobstreet-sg-job-9000342&sectionRank=2&token=0~da108ff4-8bbc-4fec-8d0f-b48a2d2f264e&fr=SRP%20Job%20Listing"
